filename,matched_name,description
DSCF0945.png,NƯỚC XẢ HYGIENE TÚI ĐẬM ĐẶC 1100ML HỒNG MỚI (NĐ),Chai nước tẩy rửa vệ sinh hồng.
DSCF0954.png,Nước lau sàn X-Cleen – Hương Hoa Hạ 1L,Dung dịch vệ sinh nhà cửa hương hoa.
DSCF0957.png,BỘT GIẶT PAO 900GR HỒNG,Bột giặt Pro Super White 900g.
DSCF0961.png,BỘT GIẶT PAO 5000GR TÍM,Bột giặt Pao Super Soft 5kg.
DSCF0967.png,BỘT GIẶT PAO 900GR HỒNG,Bột giặt Pro Super Color 900g.
DSCF0974.png,BỘT GIẶT PAO 2700GR TÍM,Bột giặt Be Super Color 2.7kg.
DSCF0984.png,BỘT GIẶT PRO 1000GR XANH DƯƠNG,Bột giặt Pro 500g gói và thùng.
DSCF0993.png,BỘT GIẶT PAO 5000GR TÍM,Bột giặt PAO Super Color 5kg.
DSCF0999.png,BỘT GIẶT PAO 5000GR HỒNG,Bột giặt PAO Super Soft 5kg.
DSCF1002.png,BỘT GIẶT PAO 9000GR M-WASH,"Pao M.Wash - Bột giặt tự động, làm sạch mạnh mẽ."
DSCF1007.png,BỘT GIẶT PAO 5000GR TÍM,Bột giặt Pao Super White 5kg.
DSCF1011.png,BỘT GIẶT PAO 5000GR HỒNG,Bột giặt PAO Super Happy 5kg.
DSCF1016.png,NƯỚC LAU XỊT KÍNH WHIZ 520ML XANH DƯƠNG,"Sữa rửa kính PAO Win Wash, 850ml."
DSCF1018.png,NƯỚC GIẶT XẢ PAO 850ML CHAI CAM,Sữa rửa chén Pao Win Wash 850ml.
DSCF1023.png,NƯỚC GIẶT XẢ PAO CAN 3000ML TÍM,"Sữa giặt PAO Win Wash, 3000ml, 4 lít/hộp."
DSCF1027.png,BỘT GIẶT PAO 9000GR M-WASH,Hóa chất làm sạch kính PAO Win Wash.
DSCF1029.png,NƯỚC GIẶT XẢ PAO CAN 3000ML ĐEN,Sữa rửa xe PAO Black & Dark 3000ml.
DSCF1033.png,NƯỚC GIẶT XẢ PAO CAN 3000ML CAM,Sữa giặt Pao Win Wash 3000ml.
DSCF1035.png,NƯỚC GIẶT FINELINE CAN 3000ML HỒNG PLUS,Sữa giặt Pao Win Wash 3.5L.
